Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:04 |       11.50% |        9.82% |       9.5761 |      14.3017 |          0.0010 |
|       1 |         100 |       00:01:12 |       94.67% |       95.71% |       0.1699 |       0.1346 |          0.0010 |
|       2 |         200 |       00:02:20 |       97.67% |       97.52% |       0.0820 |       0.0788 |          0.0010 |
|       3 |         300 |       00:03:27 |       97.17% |       98.02% |       0.1127 |       0.0630 |          0.0010 |
|       4 |         400 |       00:04:35 |       99.00% |       98.41% |       0.0288 |       0.0516 |          0.0010 |
|       5 |         500 |       00:05:43 |       99.33% |       98.43% |       0.0283 |       0.0526 |          0.0010 |
|       6 |         600 |       00:06:50 |       98.67% |       98.38% |       0.0340 |       0.0507 |          0.0010 |
|       7 |         700 |       00:07:58 |       98.83% |       98.71% |       0.0316 |       0.0422 |          0.0010 |
|       8 |         800 |       00:09:06 |       99.33% |       98.74% |       0.0246 |       0.0404 |          0.0010 |
|       9 |         900 |       00:10:14 |       99.33% |       98.63% |       0.0173 |       0.0440 |          0.0010 |
|      10 |        1000 |       00:11:22 |       99.83% |       98.69% |       0.0079 |       0.0451 |          0.0010 |
|      11 |        1100 |       00:12:29 |       99.50% |       98.92% |       0.0223 |       0.0381 |          0.0010 |
|      12 |        1200 |       00:13:37 |       99.67% |       98.77% |       0.0086 |       0.0478 |          0.0010 |
|      13 |        1300 |       00:14:45 |       99.50% |       98.92% |       0.0102 |       0.0392 |          0.0010 |
|      14 |        1400 |       00:15:53 |       99.33% |       98.84% |       0.0081 |       0.0400 |          0.0010 |
|      15 |        1500 |       00:17:01 |      100.00% |       98.88% |       0.0028 |       0.0412 |          0.0010 |
|      16 |        1600 |       00:18:09 |       99.50% |       98.77% |       0.0090 |       0.0477 |          0.0010 |
|      17 |        1700 |       00:19:17 |       99.50% |       98.48% |       0.0090 |       0.0508 |          0.0010 |
|      18 |        1800 |       00:20:25 |       99.67% |       98.73% |       0.0074 |       0.0495 |          0.0010 |
|      19 |        1900 |       00:21:33 |       99.83% |       98.94% |       0.0052 |       0.0446 |          0.0010 |
|      20 |        2000 |       00:22:41 |       99.67% |       98.85% |       0.0091 |       0.0475 |          0.0010 |
