Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:01 |       10.00% |        9.82% |      10.0416 |      14.2825 |          0.0010 |
|       1 |        1200 |       00:00:26 |      100.00% |       98.25% |       0.0463 |       0.0569 |          0.0010 |
|       2 |        2400 |       00:00:50 |       98.00% |       97.19% |       0.0902 |       0.0913 |          0.0010 |
|       3 |        3600 |       00:01:14 |       94.00% |       98.00% |       0.2425 |       0.0696 |          0.0010 |
|       4 |        4800 |       00:01:39 |      100.00% |       98.27% |       0.0025 |       0.0589 |          0.0010 |
|       5 |        6000 |       00:02:03 |      100.00% |       98.39% |       0.0168 |       0.0704 |          0.0010 |
|       6 |        7200 |       00:02:27 |       98.00% |       98.75% |       0.0777 |       0.0534 |          0.0010 |
|       7 |        8400 |       00:02:51 |      100.00% |       98.69% |       0.0036 |       0.0511 |          0.0010 |
|       8 |        9600 |       00:03:15 |      100.00% |       98.11% |       0.0068 |       0.0701 |          0.0010 |
|       9 |       10800 |       00:03:40 |      100.00% |       98.40% |       0.0034 |       0.0685 |          0.0010 |
|      10 |       12000 |       00:04:04 |       98.00% |       98.95% |       0.0251 |       0.0593 |          0.0010 |
|      11 |       13200 |       00:04:29 |      100.00% |       98.43% |       0.0011 |       0.0618 |          0.0010 |
|      12 |       14400 |       00:04:53 |      100.00% |       99.06% |       0.0004 |       0.0415 |          0.0010 |
|      13 |       15600 |       00:05:17 |      100.00% |       98.85% |       0.0122 |       0.0436 |          0.0010 |
|      14 |       16800 |       00:05:42 |      100.00% |       98.67% |       0.0086 |       0.0528 |          0.0010 |
|      15 |       18000 |       00:06:06 |      100.00% |       98.60% |       0.0158 |       0.0638 |          0.0010 |
|      16 |       19200 |       00:06:30 |       98.00% |       98.91% |       0.0271 |       0.0489 |          0.0010 |
|      17 |       20400 |       00:06:54 |      100.00% |       98.62% |       0.0050 |       0.0557 |          0.0010 |
|      18 |       21600 |       00:07:18 |      100.00% |       98.93% |       0.0168 |       0.0590 |          0.0010 |
|      19 |       22800 |       00:07:42 |      100.00% |       98.95% |       0.0037 |       0.0520 |          0.0010 |
