Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:01 |       10.00% |       10.63% |      12.3865 |      12.1169 |          0.0010 |
|       1 |        1200 |       00:00:25 |       96.00% |       98.08% |       0.2954 |       0.0645 |          0.0010 |
|       2 |        2400 |       00:00:49 |       98.00% |       98.13% |       0.0236 |       0.0674 |          0.0010 |
|       3 |        3600 |       00:01:13 |       98.00% |       98.60% |       0.1157 |       0.0435 |          0.0010 |
|       4 |        4800 |       00:01:37 |       96.00% |       98.30% |       0.0470 |       0.0589 |          0.0010 |
|       5 |        6000 |       00:02:01 |      100.00% |       98.67% |       0.0019 |       0.0470 |          0.0010 |
|       6 |        7200 |       00:02:24 |      100.00% |       98.20% |       0.0069 |       0.0628 |          0.0010 |
|       7 |        8400 |       00:02:48 |       98.00% |       98.84% |       0.1203 |       0.0390 |          0.0010 |
|       8 |        9600 |       00:03:12 |       98.00% |       98.74% |       0.0586 |       0.0480 |          0.0010 |
|       9 |       10800 |       00:03:36 |      100.00% |       98.67% |       0.0014 |       0.0598 |          0.0010 |
|      10 |       12000 |       00:04:00 |      100.00% |       97.70% |       0.0023 |       0.0999 |          0.0010 |
|      11 |       13200 |       00:04:24 |       96.00% |       98.71% |       0.1268 |       0.0592 |          0.0010 |
|      12 |       14400 |       00:04:47 |       98.00% |       98.77% |       0.0200 |       0.0612 |          0.0010 |
|      13 |       15600 |       00:05:11 |       96.00% |       98.51% |       0.4875 |       0.0777 |          0.0010 |
|      14 |       16800 |       00:05:35 |      100.00% |       98.83% |       0.0007 |       0.0496 |          0.0010 |
|      15 |       18000 |       00:05:59 |       98.00% |       99.05% |       0.0251 |       0.0455 |          0.0010 |
|      16 |       19200 |       00:06:22 |      100.00% |       98.82% |       0.0215 |       0.0485 |          0.0010 |
|      17 |       20400 |       00:06:46 |      100.00% |       99.06% |       0.0001 |       0.0492 |          0.0010 |
|      18 |       21600 |       00:07:10 |      100.00% |       98.54% |       0.0012 |       0.0797 |          0.0010 |
|      19 |       22800 |       00:07:34 |       98.00% |       98.56% |       0.0417 |       0.0719 |          0.0010 |
